state_index,state,category,metric,count
1,Jammu And Kashmir,1,Population,6640662
2,Himachal Pradesh,1,Population,3481873
3,Punjab,1,Population,14639465
4,Uttarakhand,1,Population,5718436
5,Haryana,1,Population,13494734
6,Rajasthan,1,Population,35550997
7,Uttar Pradesh,1,Population,104480510
8,Bihar,1,Population,54278157
9,Sikkim,1,Population,323070
10,Arunachal Pradesh,1,Population,713912
11,Nagaland,1,Population,1024649
12,Manipur,1,Population,1438586
13,Mizoram,1,Population,555339
14,Tripura,1,Population,1874376
15,Meghalaya,1,Population,1491832
16,Assam,1,Population,15939443
17,West Bengal,1,Population,46809027
18,Jharkhand,1,Population,16930315
19,Orissa,1,Population,21212136
20,Chhattisgarh,1,Population,12832895
21,Madhya Pradesh,1,Population,37612306
22,Gujarat,1,Population,31491260
23,Maharashtra,1,Population,58243056
24,Andhra Pradesh,1,Population,42442146
25,Karnataka,1,Population,30966657
26,Kerala,1,Population,16027412
27,Tamil Nadu,1,Population,36137975
28,Andaman And Nicobar Islands,1,Population,202871
29,Nct Of Delhi,1,Population,8987326
30,Dadra And Nagar Haveli,1,Population,344061
31,Goa,1,Population,739140
32,Pondicherry,1,Population,612511
1,Jammu And Kashmir,2,Population,5900640
2,Himachal Pradesh,2,Population,3382729
3,Punjab,2,Population,13103873
4,Uttarakhand,2,Population,5423306
5,Haryana,2,Population,11856728
6,Rajasthan,2,Population,32997440
7,Uttar Pradesh,2,Population,95331831
8,Bihar,2,Population,49821295
9,Sikkim,2,Population,287507
10,Arunachal Pradesh,2,Population,669815
11,Nagaland,2,Population,953853
12,Manipur,2,Population,1417208
13,Mizoram,2,Population,541867
14,Tripura,2,Population,1799541
15,Meghalaya,2,Population,1475057
16,Assam,2,Population,15266133
17,West Bengal,2,Population,44467088
18,Jharkhand,2,Population,16057819
19,Orissa,2,Population,20762082
20,Chhattisgarh,2,Population,12712303
21,Madhya Pradesh,2,Population,35014503
22,Gujarat,2,Population,28948432
23,Maharashtra,2,Population,54131277
24,Andhra Pradesh,2,Population,42138631
25,Karnataka,2,Population,30128640
26,Kerala,2,Population,17378649
27,Tamil Nadu,2,Population,36009055
28,Andaman And Nicobar Islands,2,Population,177710
29,Nct Of Delhi,2,Population,7800615
30,Dadra And Nagar Haveli,2,Population,242895
31,Goa,2,Population,719405
32,Pondicherry,2,Population,635442
1,Jammu And Kashmir,1,Literacy,4264671
2,Himachal Pradesh,1,Literacy,2752590
3,Punjab,1,Literacy,10436056
4,Uttarakhand,1,Literacy,4329054
5,Haryana,1,Literacy,9794067
6,Rajasthan,1,Literacy,23688412
