state_index,state,category,count
1,JAMMU AND KASHMIR,1,6640662
2,HIMACHAL PRADESH,1,3481873
3,PUNJAB,1,14639465
4,UTTARAKHAND,1,5718436
5,HARYANA,1,13494734
6,RAJASTHAN,1,35550997
7,UTTAR PRADESH,1,104480510
8,BIHAR,1,54278157
9,SIKKIM,1,323070
10,ARUNACHAL PRADESH,1,713912
11,NAGALAND,1,1024649
12,MANIPUR,1,1438586
13,MIZORAM,1,555339
14,TRIPURA,1,1874376
15,MEGHALAYA,1,1491832
16,ASSAM,1,15939443
17,WEST BENGAL,1,46809027
18,JHARKHAND,1,16930315
19,ORISSA,1,21212136
20,CHHATTISGARH,1,12832895
21,MADHYA PRADESH,1,37612306
22,GUJARAT,1,31491260
23,MAHARASHTRA,1,58243056
24,ANDHRA PRADESH,1,42442146
25,KARNATAKA,1,30966657
26,KERALA,1,16027412
27,TAMIL NADU,1,36137975
28,ANDAMAN AND NICOBAR ISLANDS,1,202871
29,NCT OF DELHI,1,8987326
30,DADRA AND NAGAR HAVELI,1,344061
31,GOA,1,739140
32,PONDICHERRY,1,612511
1,JAMMU AND KASHMIR,2,5900640
2,HIMACHAL PRADESH,2,3382729
3,PUNJAB,2,13103873
4,UTTARAKHAND,2,5423306
5,HARYANA,2,11856728
6,RAJASTHAN,2,32997440
7,UTTAR PRADESH,2,95331831
8,BIHAR,2,49821295
9,SIKKIM,2,287507
10,ARUNACHAL PRADESH,2,669815
11,NAGALAND,2,953853
12,MANIPUR,2,1417208
13,MIZORAM,2,541867
14,TRIPURA,2,1799541
15,MEGHALAYA,2,1475057
16,ASSAM,2,15266133
17,WEST BENGAL,2,44467088
18,JHARKHAND,2,16057819
19,ORISSA,2,20762082
20,CHHATTISGARH,2,12712303
21,MADHYA PRADESH,2,35014503
22,GUJARAT,2,28948432
23,MAHARASHTRA,2,54131277
24,ANDHRA PRADESH,2,42138631
25,KARNATAKA,2,30128640
26,KERALA,2,17378649
27,TAMIL NADU,2,36009055
28,ANDAMAN AND NICOBAR ISLANDS,2,177710
29,NCT OF DELHI,2,7800615
30,DADRA AND NAGAR HAVELI,2,242895
31,GOA,2,719405
32,PONDICHERRY,2,635442
