state_index,state,category,count
1,JAMMU AND KASHMIR,Male_Literate,4264671
2,HIMACHAL PRADESH,Male_Literate,2752590
3,PUNJAB,Male_Literate,10436056
4,UTTARAKHAND,Male_Literate,4329054
5,HARYANA,Male_Literate,9794067
6,RAJASTHAN,Male_Literate,23688412
7,UTTAR PRADESH,Male_Literate,68234964
8,BIHAR,Male_Literate,31608023
9,SIKKIM,Male_Literate,251269
10,ARUNACHAL PRADESH,Male_Literate,439868
11,NAGALAND,Male_Literate,723957
12,MANIPUR,Male_Literate,1039858
13,MIZORAM,Male_Literate,438529
14,TRIPURA,Male_Literate,1501369
15,MEGHALAYA,Male_Literate,913879
16,ASSAM,Male_Literate,10568639
17,WEST BENGAL,Male_Literate,33818810
18,JHARKHAND,Male_Literate,10882519
19,ORISSA,Male_Literate,15089681
20,CHHATTISGARH,Male_Literate,8807893
21,MADHYA PRADESH,Male_Literate,25174328
22,GUJARAT,Male_Literate,23474873
23,MAHARASHTRA,Male_Literate,45257584
24,ANDHRA PRADESH,Male_Literate,28251243
25,KARNATAKA,Male_Literate,22508471
26,KERALA,Male_Literate,13704903
27,TAMIL NADU,Male_Literate,28040491
28,ANDAMAN AND NICOBAR ISLANDS,Male_Literate,164377
29,NCT OF DELHI,Male_Literate,7194856
30,DADRA AND NAGAR HAVELI,Male_Literate,267164
31,GOA,Male_Literate,615823
32,PONDICHERRY,Male_Literate,497378
1,JAMMU AND KASHMIR,Female_Literate,2802562
2,HIMACHAL PRADESH,Female_Literate,2287146
3,PUNJAB,Female_Literate,8271081
4,UTTARAKHAND,Female_Literate,3357337
5,HARYANA,Female_Literate,6804921
6,RAJASTHAN,Female_Literate,14586870
7,UTTAR PRADESH,Female_Literate,46162591
8,BIHAR,Female_Literate,20896530
9,SIKKIM,Female_Literate,193683
10,ARUNACHAL PRADESH,Female_Literate,326137
11,NAGALAND,Female_Literate,618477
12,MANIPUR,Female_Literate,868618
13,MIZORAM,Female_Literate,409646
14,TRIPURA,Female_Literate,1303414
15,MEGHALAYA,Female_Literate,871126
16,ASSAM,Female_Literate,8609338
17,WEST BENGAL,Female_Literate,27719471
18,JHARKHAND,Female_Literate,7445550
19,ORISSA,Female_Literate,11652914
20,CHHATTISGARH,Female_Literate,6572029
21,MADHYA PRADESH,Female_Literate,17676841
22,GUJARAT,Female_Literate,17618485
23,MAHARASHTRA,Female_Literate,36296706
24,ANDHRA PRADESH,Female_Literate,22305517
25,KARNATAKA,Female_Literate,18138851
26,KERALA,Female_Literate,14430921
27,TAMIL NADU,Female_Literate,23797016
28,ANDAMAN AND NICOBAR ISLANDS,Female_Literate,129904
29,NCT OF DELHI,Female_Literate,5542911
30,DADRA AND NAGAR HAVELI,Female_Literate,144472
31,GOA,Female_Literate,549664
32,PONDICHERRY,Female_Literate,459931
