state_index,state,category,count
1,JAMMU AND KASHMIR,1,3195090
2,HIMACHAL PRADESH,1,2043373
3,PUNJAB,1,8074157
4,UTTARAKHAND,1,2880080
5,HARYANA,1,6806636
6,RAJASTHAN,1,18297076
7,UTTAR PRADESH,1,49846762
8,BIHAR,1,25222189
9,SIKKIM,1,194358
10,ARUNACHAL PRADESH,1,350273
11,NAGALAND,1,547357
12,MANIPUR,1,739408
13,MIZORAM,1,290740
14,TRIPURA,1,1045326
15,MEGHALAYA,1,703709
16,ASSAM,1,8541560
17,WEST BENGAL,1,26716047
18,JHARKHAND,1,8424769
19,ORISSA,1,11902655
20,CHHATTISGARH,1,7133866
21,MADHYA PRADESH,1,20146970
22,GUJARAT,1,18000914
23,MAHARASHTRA,1,32616875
24,ANDHRA PRADESH,1,24185595
25,KARNATAKA,1,18270116
26,KERALA,1,8451569
27,TAMIL NADU,1,21434978
28,ANDAMAN AND NICOBAR ISLANDS,1,120889
29,NCT OF DELHI,1,4762026
30,DADRA AND NAGAR HAVELI,1,226727
31,GOA,1,419536
32,PONDICHERRY,1,332931
1,JAMMU AND KASHMIR,2,1127623
2,HIMACHAL PRADESH,2,1516049
3,PUNJAB,2,1823205
4,UTTARAKHAND,2,1396331
5,HARYANA,2,2109872
6,RAJASTHAN,2,11589179
7,UTTAR PRADESH,2,15967953
8,BIHAR,2,9502798
9,SIKKIM,2,113780
10,ARUNACHAL PRADESH,2,237384
11,NAGALAND,2,426765
12,MANIPUR,2,565202
13,MIZORAM,2,195965
14,TRIPURA,2,424195
15,MEGHALAYA,2,481910
16,ASSAM,2,3428130
17,WEST BENGAL,2,8040308
18,JHARKHAND,2,4673505
19,ORISSA,2,5638934
20,CHHATTISGARH,2,5046359
21,MADHYA PRADESH,2,11427163
22,GUJARAT,2,6766833
23,MAHARASHTRA,2,16811003
24,ANDHRA PRADESH,2,15237311
25,KARNATAKA,2,9602481
26,KERALA,2,3167494
27,TAMIL NADU,2,11449703
28,ANDAMAN AND NICOBAR ISLANDS,2,31646
29,NCT OF DELHI,2,825023
30,DADRA AND NAGAR HAVELI,2,51705
31,GOA,2,157712
32,PONDICHERRY,2,112037
