index,category,label,level,ANDAMAN AND NICOBAR ISLANDS,ANDHRA PRADESH,ARUNACHAL PRADESH,ASSAM,BIHAR,CHHATTISGARH,DADRA AND NAGAR HAVELI,GOA,GUJARAT,HARYANA,HIMACHAL PRADESH,JAMMU AND KASHMIR,JHARKHAND,KARNATAKA,KERALA,MADHYA PRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,NCT OF DELHI,ORISSA,PONDICHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMIL NADU,TRIPURA,UTTAR PRADESH,UTTARAKHAND,WEST BENGAL
1,Purchasing Power Parity,Power_Parity_Less_than_Rs_45000,1,1879,19930,880,1510,23749,5857,2217,209,8249,2227,1922,3325,8113,11566,8054,16130,15240,716,503,175,439,5202,12551,1937,3017,10831,142,13319,671,37958,2686,18439
2,Purchasing Power Parity,Power_Parity_Rs_45000_150000,2,6810,80360,4158,6406,55371,19526,25015,1589,65573,22640,8316,9945,23002,51251,29837,56496,132603,2115,2616,1193,2417,32256,24663,15335,27357,63033,539,81283,3230,138562,17728,73712
3,Purchasing Power Parity,Power_Parity_Rs_150000_240000,3,1073,5183,556,834,6168,1643,8977,273,10745,8286,1322,1527,3288,10663,4013,3729,29860,262,369,224,392,5301,4766,4775,9200,6317,87,22188,456,15329,5096,15122
4,Purchasing Power Parity,Power_Parity_Rs_240000_330000,4,636,3090,396,590,564,749,5452,325,11626,5636,758,1970,507,4970,4103,2761,23999,117,302,119,129,5238,3916,2854,6311,4698,84,12888,420,20209,3364,8849
5,Purchasing Power Parity,Power_Parity_Rs_330000_545000,5,1142,9156,294,402,2061,1569,17393,683,21848,12778,2278,2725,1859,17178,4418,6164,72075,121,222,224,242,9441,2584,5391,17946,13311,34,23660,224,18679,9103,15941
6,Purchasing Power Parity,Power_Parity_Above_Rs_545000,6,544,6449,172,202,1576,1263,16029,645,12669,4461,1564,1193,1634,7569,1542,3989,43658,36,164,175,146,6921,1351,4679,9560,10589,29,15362,237,7154,8360,8720
,,Total Parity,,12084,124168,6456,9944,89489,30607,75083,3724,130710,56028,16160,20685,38403,103197,51967,89269,317435,3367,4176,2110,3765,64359,49831,34971,73391,108779,915,168700,5238,237891,46337,140783
,,,,0.155494869,0.160508344,0.136307311,0.151850362,0.265384572,0.191361453,0.029527323,0.056122449,0.063109173,0.039747983,0.118935644,0.160744501,0.211259537,0.112076901,0.15498297,0.180689825,0.048009829,0.212652213,0.120450192,0.082938389,0.116600266,0.080827856,0.251871325,0.055388751,0.041108583,0.099568851,0.155191257,0.0789508,0.128102329,0.159560471,0.057966636,0.130974621
,,,,0.563555114,0.647187681,0.644052045,0.644207562,0.618746438,0.637958637,0.333164631,0.426691729,0.501667814,0.404083672,0.51460396,0.480783176,0.598963623,0.496632654,0.574152828,0.632873674,0.417732764,0.628155628,0.626436782,0.565402844,0.641965471,0.501188645,0.494932873,0.438506191,0.372756878,0.579459271,0.589071038,0.481819798,0.616647575,0.582460034,0.382588428,0.523585944
,,,,0.088795101,0.041741834,0.086121437,0.08386967,0.068924672,0.053680531,0.119561019,0.073308271,0.082204881,0.147890341,0.081806931,0.07382161,0.085618311,0.103326647,0.077222083,0.04177262,0.094066502,0.077814078,0.088362069,0.106161137,0.104116866,0.082366103,0.095643274,0.136541706,0.12535597,0.05807187,0.095081967,0.131523414,0.087056128,0.064437074,0.109976908,0.107413537
