Index,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
1,JAMMU AND KASHMIR,,12541302,6640662,5900640,7067233,4264671,2802562,4322713,3195090,1127623,1105608,1526226,1771552,1457576,863950,615858,133919,7474689,4121757,11596446,7725207,3069723,1731253,15119,3325,6865,3080,9945,1527,1970,3497,1677,1048,2725,1193,20686
2,HIMACHAL PRADESH,,6864602,3481873,3382729,5039736,2752590,2287146,3559422,2043373,1516049,648716,1117178,982486,1166943,776104,425328,65479,5182234,1379928,6562162,3648872,1905011,1300556,10163,1922,4634,3682,8316,1322,758,2080,920,1358,2278,1564,16154
3,PUNJAB,,27743338,14639465,13103873,18707137,10436056,8271081,9897362,8074157,1823205,2422485,4060061,3439808,3946146,2426383,1574711,308408,18178002,7079622,25257624,15143130,7481850,5076836,41522,3017,11530,15827,27357,9200,6311,15511,7349,10597,17946,9560,73388
4,UTTARAKHAND,,11141742,5718436,5423306,7686391,4329054,3357337,4276411,2880080,1396331,1251978,1829917,1658574,1245722,958699,992548,112186,8049624,2423862,10473486,6635781,2723634,1765373,16954,2686,7566,10162,17728,5096,3364,8460,4253,4850,9103,8360,46334
5,HARYANA,,25351462,13494734,11856728,16598988,9794067,6804921,8916508,6806636,2109872,2534054,3514393,3001803,3217040,2137786,1866017,322513,16593606,7034207,23627813,15006789,6403218,3909921,31534,2227,10973,11667,22640,8286,5636,13922,4958,7820,12778,4461,56038
7,RAJASTHAN,,68548437,35550997,32997440,38275282,23688412,14586870,29886255,18297076,11589179,10023840,9701209,7804790,4979245,3241557,3500508,538033,39789182,30026672,69815854,42814434,15938006,9526395,269602,10831,32555,30478,63033,6317,4698,11015,5076,8235,13311,10589,108763
8,UTTAR PRADESH,,199812341,104480510,95331831,114397555,68234964,46162591,65814715,49846762,15967953,29707438,33441369,26347392,17311875,11978183,9588223,933280,129307760,70537129,199844889,126507123,44192083,27491073,1622062,37958,82416,56146,138562,15329,20209,35538,12115,6564,18679,7154,237885
9,BIHAR,,104099452,54278157,49821295,52504553,31608023,20896530,34724987,25222189,9502798,21533037,16822947,10287996,7565444,4600511,3346072,368472,64524479,46443380,110967859,66930323,22949064,13816563,403502,23749,37239,18132,55371,6168,564,6732,788,1273,2061,1576,89490
10,SIKKIM,,610577,323070,287507,444952,251269,193683,308138,194358,113780,94633,125319,94096,54858,34950,32907,3970,440733,98437,539170,364810,161866,82725,1176,142,324,215,539,87,84,171,19,15,34,29,913
11,ARUNACHAL PRADESH,,1383727,713912,669815,766005,439868,326137,587657,350273,237384,163076,203321,177395,124932,90576,60298,6067,825665,441551,1267216,904739,337844,139635,1509,880,2672,1486,4158,556,396,952,141,153,294,172,6456
12,NAGALAND,,1978502,1024649,953853,1342434,723957,618477,974122,547357,426765,226798,391795,406074,190484,103214,89079,7957,1415401,494894,1910295,1289918,475130,211983,1471,439,1530,887,2417,392,129,521,117,125,242,146,3763
13,MANIPUR,,2855794,1438586,1417208,1908476,1039858,868618,1304610,739408,565202,248408,476583,593970,394644,276496,251453,20342,2261896,737422,2999318,1700955,737266,409796,7777,716,1308,807,2115,262,117,379,72,49,121,36,3366
14,MIZORAM,,1097206,555339,541867,848175,438529,409646,486705,290740,195965,123782,220893,250675,162403,68119,52054,2565,880491,190080,1070571,680399,272113,144061,633,175,570,623,1193,224,119,343,92,132,224,175,2108
15,TRIPURA,,3673917,1874376,1799541,2804783,1501369,1303414,1469521,1045326,424195,572033,908733,887990,295040,151689,137119,23264,2975868,733386,3709254,2093146,1010551,568604,1616,671,1900,1330,3230,456,420,876,100,124,224,237,5238
16,MEGHALAYA,,2966889,1491832,1475057,1785005,913879,871126,1185619,703709,481910,487099,590822,403779,286005,135182,94205,18181,2015273,900507,2915780,2040423,632928,287754,5784,503,1595,1021,2616,369,302,671,98,124,222,164,4176
17,ASSAM,,31205576,15939443,15266133,19177977,10568639,8609338,11969690,8541560,3428130,3743725,6286859,6391073,2720548,1749752,1017971,157418,22067346,9491628,31558974,19042032,8016988,4127732,18824,1510,4311,2095,6406,834,590,1424,195,207,402,202,
18,WEST BENGAL,,91276115,46809027,44467088,61538281,33818810,27719471,34756355,26716047,8040308,10838317,17632154,18271212,7446104,4364896,4618160,648007,63818850,26569967,90388817,50551737,25343015,15268912,112451,18439,41377,32335,73712,15122,8849,23971,5482,10459,15941,8720,140786
19,JHARKHAND,,32988134,16930315,16057819,18328069,10882519,7445550,13098274,8424769,4673505,4779714,5937774,4514320,2790642,1636646,1154047,151720,20964863,11657684,32622547,20576647,7766660,4528093,116734,8113,14742,8260,23002,3288,507,3795,708,1151,1859,1634,38409
20,ORISSA,,41974218,21212136,20762082,26742595,15089681,11652914,17541589,11902655,5638934,5501486,8066601,6700024,4093205,1829576,1689899,430264,28311055,13705186,42016241,23359384,11179683,7315980,119171,12551,15919,8744,24663,4766,3916,8682,987,1597,2584,1351,49831
21,CHHATTISGARH,,25545198,12832895,12712303,15379922,8807893,6572029,12180225,7133866,5046359,3889201,4058000,3421010,1853321,1562183,1072482,151480,16007677,8967044,24974721,15230475,6505399,3786209,23115,5857,11041,8485,19526,1643,749,2392,613,956,1569,1263,30603
22,MADHYA PRADESH,,72626809,37612306,35014503,42851169,25174328,17676841,31574133,20146970,11427163,10486391,10363593,7486768,5754570,4267299,3476419,391303,42226343,26761119,68987462,44264116,17814066,10465765,82862,16130,32115,24381,56496,3729,2761,6490,2408,3756,6164,3989,89277
23,GUJARAT,,60439692,31491260,28948432,41093358,23474873,17618485,24767747,18000914,6766833,6667022,14528220,5920431,7345431,3491202,3384559,620698,41957563,14190067,56147630,34370917,16291242,9538689,238844,8249,29274,36299,65573,10745,11626,22371,8419,13429,21848,12669,130705
25,MAHARASHTRA,,112374333,58243056,54131277,81554290,45257584,36296706,49427878,32616875,16811003,10211270,18242722,15861646,17831786,10618622,8463507,1209278,82438831,22824116,105262947,61782561,30272010,19912066,407696,15240,61796,70807,132603,29860,23999,53859,31912,40163,72075,43658,317442
26,ANDHRA PRADESH,,84580777,42442146,42138631,50556760,28251243,22305517,39422906,24185595,15237311,9672732,13036342,11566354,9266937,5481749,5069999,687039,54781152,27185233,81966385,45815669,23148452,14845225,771431,19930,46112,34248,80360,5183,3090,8273,3771,5385,9156,6449,124166
27,KARNATAKA,,61095297,30966657,30128640,40647322,22508471,18138851,27872597,18270116,9602481,6004302,12425200,7721533,8431196,4702161,4355748,791768,44431908,15548499,59980407,33676315,16740325,10632806,45851,11566,25778,25473,51251,10663,4970,15633,6956,10222,17178,7569,103198
